PebbleCounts,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area,,Correction Factor:,,,,,
,,,,,,,,,,,,3.18E-05,,,,corrected diameter (mm),correction
-104.7011281,32.2323103,106.8542366,53.34730244,6.36E-06,3.18E-06,2841,1.01E-11,-3.098496617,4464.813175,36.36911806,,,,,,300.8,
-104.7010657,32.23230899,62.63592064,40.08498934,3.73E-06,2.39E-06,1644,5.83E-12,-2.544010938,1966.546948,16.40169071,,,,,,226.0,
-104.7011533,32.23230607,109.0702672,29.92694208,6.50E-06,1.78E-06,1707,6.05E-12,-2.275682805,2556.629534,33.23240708,,,,,,168.8,
-104.7011334,32.232305,119.9881064,72.00459588,7.15E-06,4.29E-06,4482,1.59E-11,-0.628415223,6767.020591,33.76701106,,,,,,406.0,
-104.7010636,32.23230304,71.26702318,24.35742642,4.24E-06,1.45E-06,1093,3.88E-12,-2.313274176,1359.624868,19.61017881,,,,,,137.4,
-104.7011163,32.23230054,52.5621393,40.4509424,3.13E-06,2.41E-06,1372,4.87E-12,-1.584623187,1665.331735,17.61401219,,,,,,228.1,
-104.7011138,32.2322919,333.5586966,182.9107197,1.99E-05,1.09E-05,36885,1.31E-10,-2.046916743,47787.08155,22.81386767,,,,,,1031.5,
-104.7011404,32.23229035,97.50331886,49.68656976,5.81E-06,2.96E-06,2359,8.37E-12,-1.312294422,3794.52567,37.83149185,,,,,,280.2,
-104.7011559,32.23228952,84.930717,46.80834495,5.06E-06,2.79E-06,1975,7.00E-12,-2.517036419,3113.774498,36.572157,,,,,,264.0,
-104.701102,32.23228851,111.8371701,30.60494977,6.66E-06,1.82E-06,2111,7.49E-12,-1.208738169,2680.877203,21.25711696,,,,,,172.6,
-104.7011331,32.23228618,103.4714394,35.63102786,6.16E-06,2.12E-06,1685,5.98E-12,-1.06287043,2887.672404,41.64850563,,,,,,200.9,
-104.7011263,32.23228547,93.22577124,83.34921828,5.55E-06,4.96E-06,3302,1.17E-11,-0.717901353,6086.065151,45.74491206,,,,,,470.0,
-104.7011228,32.23228178,80.99849178,40.54939267,4.82E-06,2.41E-06,2049,7.27E-12,-1.436244345,2572.529523,20.3507683,,,,,,228.7,
-104.7011559,32.23228315,57.39461866,32.07689237,3.42E-06,1.91E-06,1192,4.23E-12,-3.056147032,1441.990977,17.33651465,,,,,,180.9,
-104.7011033,32.23227665,136.2608421,58.59251881,8.11E-06,3.49E-06,3670,1.30E-11,-2.477991795,6253.343971,41.31140048,,,,,,330.4,
-104.7011014,32.23227439,62.25729092,30.18126666,3.71E-06,1.80E-06,1133,4.02E-12,-2.252517604,1471.725323,23.01552592,,,,,,170.2,
-104.7011294,32.23231411,56.86274426,30.67482632,3.39E-06,1.83E-06,1005,3.56E-12,-0.611648703,1366.183416,26.43740306,,,,,,173.0,
-104.7011236,32.23230715,112.8821733,90.7881535,6.72E-06,5.41E-06,5438,1.93E-11,-0.25446827,8027.006723,32.25370069,,,,,,512.0,
-104.7011271,32.23230893,44.17893495,21.2172491,2.63E-06,1.26E-06,623,2.21E-12,-3.02008687,734.1814348,15.14359115,,,,,,119.6,
-104.7011274,32.23230524,76.76607257,57.27834424,4.57E-06,3.41E-06,2530,8.97E-12,-2.162952122,3443.966028,26.5381836,,,,,,323.0,
-104.7010717,32.23230655,41.00129349,31.81557451,2.44E-06,1.89E-06,786,2.79E-12,-0.849083512,1021.730621,23.07169971,,,,,,179.4,
-104.7010965,32.2323031,55.72721208,31.45329775,3.32E-06,1.87E-06,833,2.95E-12,-3.090126925,1372.880018,39.32463225,,,,,,177.4,
-104.7010991,32.23229524,32.33722413,26.51619783,1.93E-06,1.58E-06,612,2.17E-12,-2.54136738,671.6036823,8.87482958,,,,,,149.5,
-104.7011283,32.23228934,106.9524661,93.91373441,6.37E-06,5.59E-06,6306,2.24E-11,-2.850762932,7867.17833,19.84419654,,,,,,529.6,
-104.7010998,32.2322819,88.07877984,50.48625918,5.25E-06,3.01E-06,2671,9.47E-12,-3.001587168,3482.920516,23.31148564,,,,,,284.7,
-104.7010737,32.23227612,41.16979437,26.275096,2.45E-06,1.56E-06,682,2.42E-12,-2.477295434,847.2705101,19.50622713,,,,,,148.2,
-104.7010864,32.23227528,62.7004691,42.91031926,3.73E-06,2.56E-06,1617,5.73E-12,-2.80841684,2107.325475,23.26766703,,,,,,242.0,
-104.7010809,32.23227463,38.58795135,21.19549033,2.30E-06,1.26E-06,545,1.93E-12,-2.409630366,640.6108225,14.9249465,,,,,,119.5,
-104.7009341,32.23342875,154.5551878,84.3340318,9.20E-06,5.02E-06,5573,1.98E-11,-0.186294963,10209.05472,45.41120456,,,,,,475.6,
-104.7009678,32.23338557,193.813606,133.4208426,1.15E-05,7.95E-06,17556,6.23E-11,-0.036112566,20253.82356,13.3200704,,,,,,752.4,
-104.7010347,32.23336562,137.0904434,75.36266088,8.16E-06,4.49E-06,6217,2.20E-11,-2.251569121,8092.123203,23.17220284,,,,,,425.0,
-104.7009897,32.23336544,281.9928442,97.05700076,1.68E-05,5.78E-06,19983,7.09E-11,-2.975985842,21437.00138,6.782671487,,,,,,547.3,
-104.7009832,32.23336175,118.528811,41.86428542,7.06E-06,2.49E-06,2754,9.77E-12,-3.132416398,3886.571768,29.14063694,,,,,,236.1,
-104.7009923,32.2333574,212.900766,120.7695509,1.27E-05,7.19E-06,14793,5.25E-11,-0.141101279,20138.80778,26.54480761,,,,,,681.0,
-104.7009503,32.2333471,140.7747369,90.31008374,8.38E-06,5.38E-06,9232,3.27E-11,-0.419370839,9957.723215,7.28804366,,,,,,509.3,
-104.7010086,32.23333966,53.59278273,42.88517643,3.19E-06,2.55E-06,1716,6.09E-12,-3.084915052,1800.166146,4.67546546,,,,,,241.8,
-104.7010142,32.23333817,122.257179,75.17809253,7.28E-06,4.48E-06,5892,2.09E-11,-0.720624511,7198.877017,18.15390114,,,,,,423.9,
-104.700969,32.23337045,47.04264517,31.47011992,2.80E-06,1.87E-06,942,3.34E-12,-1.50940627,1159.549286,18.76153854,,,,,,177.5,
-104.7009811,32.23335746,45.77967842,39.10165284,2.73E-06,2.33E-06,1065,3.78E-12,-1.384890577,1402.061082,24.04039927,,,,,,220.5,
-104.7009676,32.23334043,106.2120936,62.91529044,6.33E-06,3.75E-06,3029,1.07E-11,-2.779619166,5233.94623,42.12779676,,,,,,354.8,
-104.7009718,32.23332376,79.24893327,59.69548521,4.72E-06,3.56E-06,3076,1.09E-11,-1.355705508,3705.390578,16.98580932,,,,,,336.6,
-104.7010011,32.23328951,276.9688201,121.9383037,1.65E-05,7.26E-06,21368,7.58E-11,-2.656488422,26452.70638,19.22187584,,,,,,687.6,
-104.7010319,32.23327998,72.20913911,63.51338542,4.30E-06,3.78E-06,2724,9.66E-12,-1.457448283,3592.166935,24.16833489,,,,,,358.2,
-104.7010043,32.23327528,38.99791659,22.51579014,2.32E-06,1.34E-06,566,2.01E-12,-3.015743552,687.7453767,17.70210034,,,,,,127.0,
-104.7009864,32.23329088,170.162506,71.39544624,1.01E-05,4.25E-06,6992,2.48E-11,-2.221405677,9515.540597,26.5202021,,,,,,402.6,
-104.7010126,32.23328493,115.2381517,83.3005102,6.86E-06,4.96E-06,6956,2.47E-11,-2.603074924,7518.704678,7.484064107,,,,,,469.7,
-104.7010241,32.23326617,49.58967363,30.48563359,2.95E-06,1.82E-06,1011,3.59E-12,-3.128556556,1184.0923,14.6181425,,,,,,171.9,
-104.7009941,32.23324127,58.9420828,36.34827305,3.51E-06,2.16E-06,1273,4.51E-12,-2.957914465,1678.063308,24.13873814,,,,,,205.0,
-104.7009885,32.23323168,97.52451556,55.49144159,5.81E-06,3.30E-06,2345,8.32E-12,-2.8040666,4238.760614,44.67722494,,,,,,312.9,
-104.7009821,32.23322281,69.70870422,25.44474424,4.15E-06,1.52E-06,1041,3.69E-12,-0.542747635,1389.262078,25.0681339,,,,,,143.5,
-104.701024,32.23322198,73.01718727,27.60276169,4.35E-06,1.64E-06,1302,4.62E-12,-3.05321296,1578.616786,17.52273182,,,,,,155.7,
-104.700991,32.23322037,55.65732072,46.83409568,3.31E-06,2.79E-06,1725,6.12E-12,-2.523301779,2041.660451,15.50994688,,,,,,264.1,
-104.7009875,32.23321507,146.7725184,98.9293395,8.74E-06,5.89E-06,7363,2.61E-11,-0.691643252,11372.8402,35.25803694,,,,,,557.9,
-104.7009935,32.23321477,111.4669945,66.68116834,6.64E-06,3.97E-06,4687,1.66E-11,-2.243694556,5821.683261,19.49063888,,,,,,376.0,
-104.701,32.23321423,88.27705574,81.88493243,5.26E-06,4.88E-06,3733,1.32E-11,-1.31787067,5661.752965,34.06635678,,,,,,461.8,
-104.7009556,32.23320792,216.6451469,110.0645955,1.29E-05,6.55E-06,14193,5.03E-11,-2.008364803,18676.50842,24.00613819,,,,,,620.7,
-104.7010246,32.23321096,109.7206695,61.68522464,6.53E-06,3.67E-06,3951,1.40E-11,-3.099546361,5301.132762,25.46875965,,,,,,347.9,
-104.7009983,32.23321096,94.05505876,30.04847863,5.60E-06,1.79E-06,1574,5.58E-12,-2.614974593,2213.623357,28.89485943,,,,,,169.4,
-104.7009936,32.2332106,81.90303701,37.45474369,4.88E-06,2.23E-06,1630,5.78E-12,-0.002183589,2402.735232,32.1606485,,,,,,211.2,
-104.7009916,32.23320679,125.3083423,57.1585063,7.46E-06,3.40E-06,3548,1.26E-11,-2.683548136,5609.962229,36.75536741,,,,,,322.3,
-104.7010079,32.23320828,59.94036809,38.39156679,3.57E-06,2.29E-06,1461,5.18E-12,-0.660675983,1802.413051,18.94199836,,,,,,216.5,
-104.7009864,32.23320512,100.9129943,43.58402331,6.01E-06,2.60E-06,2139,7.59E-12,-0.349994589,3444.875192,37.907765,,,,,,245.8,
-104.7009963,32.23320268,58.26663335,38.17889949,3.47E-06,2.27E-06,1345,4.77E-12,-2.973118173,1742.378134,22.80665294,,,,,,215.3,
-104.7009908,32.2332022,76.15602259,27.22087445,4.54E-06,1.62E-06,1163,4.12E-12,-3.055451688,1623.698569,28.37340487,,,,,,153.5,
-104.7010364,32.23320036,110.989669,44.08870903,6.61E-06,2.63E-06,2665,9.45E-12,-2.544036468,3832.737006,30.46744413,,,,,,248.6,
-104.7009913,32.23319518,83.80260472,32.70564099,4.99E-06,1.95E-06,1243,4.41E-12,-2.23125085,2146.739087,42.09822669,,,,,,184.4,
-104.7010245,32.23319315,65.39600169,26.17090643,3.89E-06,1.56E-06,1029,3.65E-12,-1.165378462,1340.506865,23.23799102,,,,,,147.6,
-104.7009907,32.23319202,114.1743931,48.32187506,6.80E-06,2.88E-06,3014,1.07E-11,-3.048340316,4321.271678,30.25201319,,,,,,272.5,
-104.7010298,32.23318196,138.1583114,80.27964708,8.23E-06,4.78E-06,6332,2.25E-11,-0.803531891,8687.234653,27.11144279,,,,,,452.7,
-104.7009945,32.23318196,84.09703239,54.29153723,5.01E-06,3.23E-06,2482,8.80E-12,-2.956321432,3576.118411,30.59513935,,,,,,306.2,
-104.7010257,32.23317713,96.05686247,51.37256918,5.72E-06,3.06E-06,2377,8.43E-12,-2.456684724,3865.082462,38.50066529,,,,,,289.7,
-104.7010248,32.2332717,69.40576072,34.97576672,4.13E-06,2.08E-06,922,3.27E-12,-0.109598637,1901.349013,51.50811379,,,,,,197.2,
-104.7010188,32.2332567,46.8100298,26.01736402,2.79E-06,1.55E-06,682,2.42E-12,-2.045225602,953.8965813,28.50377983,,,,,,146.7,
-104.7009985,32.23323758,41.97434426,37.25205035,2.50E-06,2.22E-06,1120,3.97E-12,-2.119060015,1224.709771,8.549762038,,,,,,210.1,
-104.7009938,32.23323234,36.45476191,22.21984981,2.17E-06,1.32E-06,486,1.72E-12,-0.309817566,634.4457122,23.39770123,,,,,,125.3,
-104.700985,32.23321828,126.2334659,37.49692241,7.52E-06,2.23E-06,2375,8.42E-12,-2.907108307,3707.398006,35.93889849,,,,,,211.5,
-104.701029,32.23321685,90.49461335,20.14399126,5.39E-06,1.20E-06,1146,4.06E-12,-0.134762528,1427.799858,19.73664981,,,,,,113.6,
-104.7010033,32.23321548,62.70381525,29.06257025,3.73E-06,1.73E-06,863,3.06E-12,-0.514774376,1427.338788,39.5378303,,,,,,163.9,
-104.701024,32.23321459,50.32550868,41.54993283,3.00E-06,2.47E-06,1276,4.53E-12,-1.418993544,1637.787608,22.09001985,,,,,,234.3,
-104.7010278,32.23321441,48.94965544,34.11110981,2.92E-06,2.03E-06,661,2.34E-12,-2.999970457,1307.809747,49.45748023,,,,,,192.4,
-104.7010295,32.23321048,32.72424035,25.44538831,1.95E-06,1.52E-06,428,1.52E-12,-2.992993821,652.19541,34.37549645,,,,,,143.5,
-104.7010298,32.23320739,43.64998649,25.79096362,2.60E-06,1.54E-06,764,2.71E-12,-0.838747343,881.7607513,13.35518179,,,,,,145.4,
-104.7010091,32.23320721,40.08493785,30.16784071,2.39E-06,1.80E-06,775,2.75E-12,-0.69304764,947.162559,18.17666433,,,,,,170.1,
-104.7010276,32.23320721,35.95755821,23.24223091,2.14E-06,1.38E-06,586,2.08E-12,-0.876470204,654.5865614,10.4778444,,,,,,131.1,
-104.7009866,32.23320322,75.39081506,26.18310445,4.49E-06,1.56E-06,1214,4.31E-12,-3.056054942,1546.103837,21.48004741,,,,,,147.7,
-104.7010162,32.23319881,31.46724945,24.01825872,1.87E-06,1.43E-06,449,1.59E-12,-1.182769005,591.9695705,24.15150671,,,,,,135.4,
-104.7009989,32.23319845,43.29631208,21.09683152,2.58E-06,1.26E-06,582,2.06E-12,-0.529063404,715.4301215,18.650336,,,,,,119.0,
-104.7009885,32.23319774,41.82445219,35.72156681,2.49E-06,2.13E-06,1057,3.75E-12,-0.14065709,1170.199322,9.673507763,,,,,,201.4,
-104.7010192,32.23319494,50.13698261,28.79615407,2.99E-06,1.71E-06,860,3.05E-12,-0.088538792,1130.815527,23.94869195,,,,,,162.4,
-104.7010229,32.23319405,41.99524937,25.729102,2.50E-06,1.53E-06,509,1.81E-12,-1.639593052,846.2990911,39.85577849,,,,,,145.1,
-104.7010326,32.23319321,64.03836156,27.35867582,3.81E-06,1.63E-06,893,3.17E-12,-2.736042787,1372.253561,34.92456313,,,,,,154.3,
-104.7010306,32.23319184,43.42575592,20.7097237,2.59E-06,1.23E-06,536,1.90E-12,-2.980490023,704.4023127,23.90712092,,,,,,116.8,
-104.7010325,32.23318934,61.23441987,21.00902914,3.65E-06,1.25E-06,841,2.98E-12,-0.427032259,1007.629033,16.53674397,,,,,,118.5,
-104.700954,32.23317445,41.22860793,34.81171491,2.46E-06,2.07E-06,943,3.34E-12,-1.532647977,1124.147168,16.11418622,,,,,,196.3,
-104.7009458,32.23325056,66.76085973,41.54889281,3.98E-06,2.47E-06,1417,5.03E-12,-0.471202717,2172.603413,34.77870873,,,,,,234.3,
-104.7010103,32.23324532,243.8166577,92.80610638,1.45E-05,5.53E-06,13858,4.91E-11,-0.326492823,17723.07223,21.808139,,,,,,523.3,
-104.7009961,32.2332396,30.21447949,26.50527111,1.80E-06,1.58E-06,556,1.97E-12,-1.1894588,627.2583467,11.36028673,,,,,,149.5,
-104.7009886,32.23323686,81.31013432,73.41992792,4.84E-06,4.37E-06,3458,1.23E-11,-3.042797859,4675.819239,26.0450453,,,,,,414.0,
-104.7009962,32.23323609,57.24071151,32.83268999,3.41E-06,1.96E-06,1278,4.53E-12,-2.631205548,1472.009358,13.17989974,,,,,,185.1,
-104.7010063,32.23321263,67.63820605,33.742198,4.03E-06,2.01E-06,991,3.51E-12,-2.221657516,1787.576066,44.5617997,,,,,,190.3,
-104.7010156,32.23320417,67.1784635,45.40037287,4.00E-06,2.70E-06,1134,4.02E-12,-0.775609401,2388.848278,52.52942557,,,,,,256.0,
-104.7009935,32.2331975,37.19202438,20.76820213,2.21E-06,1.24E-06,423,1.50E-12,-2.619296103,604.9894498,30.08142537,,,,,,117.1,
-104.7010008,32.23317314,45.97501602,27.25002402,2.74E-06,1.62E-06,853,3.03E-12,-3.086832096,981.2685052,13.07170305,,,,,,153.7,
-104.7008053,32.2336254,54.97708831,28.46901729,3.27E-06,1.70E-06,1085,3.85E-12,-0.880429386,1225.895053,11.49323941,,,,,,160.5,
-104.7008375,32.23362106,57.55231253,35.87023034,3.43E-06,2.14E-06,1419,5.03E-12,-2.640233916,1616.947896,12.24207018,,,,,,202.3,
-104.700813,32.23361838,123.3631079,85.7537123,7.35E-06,5.11E-06,4901,1.74E-11,-0.885267359,8285.854696,40.85100235,,,,,,483.6,
-104.7008601,32.2336076,124.3459972,86.55048227,7.41E-06,5.15E-06,5473,1.94E-11,-0.247608589,8429.472208,35.07304058,,,,,,488.1,
-104.700864,32.23360331,72.41429161,26.13508894,4.31E-06,1.56E-06,1088,3.86E-12,-0.057809826,1482.338369,26.60245309,,,,,,147.4,
-104.7008555,32.23360164,71.58029967,63.16431513,4.26E-06,3.76E-06,1779,6.31E-12,-1.630644481,3541.313582,49.76440355,,,,,,356.2,
-104.7008634,32.23360122,53.90442205,34.66926005,3.21E-06,2.06E-06,1193,4.23E-12,-2.875492911,1463.753842,18.497225,,,,,,195.5,
-104.7008481,32.2335989,48.20677106,35.33797185,2.87E-06,2.10E-06,1213,4.30E-12,-0.065578018,1334.285433,9.08991661,,,,,,199.3,
-104.7008215,32.23359646,64.53232825,31.53846662,3.84E-06,1.88E-06,1420,5.04E-12,-2.742297395,1594.105242,10.92181605,,,,,,177.9,
-104.7008133,32.23359318,65.55082097,34.97957478,3.90E-06,2.08E-06,1314,4.66E-12,-0.778092421,1795.939665,26.83495856,,,,,,197.3,
-104.7008187,32.23359247,69.75401775,47.58984359,4.15E-06,2.83E-06,2209,7.83E-12,-0.324381031,2600.055308,15.04026882,,,,,,268.4,
-104.7008305,32.23358741,86.19991601,59.15058547,5.13E-06,3.52E-06,2881,1.02E-11,-0.212299087,3993.603751,27.85964309,,,,,,333.6,
-104.7008116,32.23358723,72.78575546,41.81335694,4.33E-06,2.49E-06,1975,7.00E-12,-0.466495528,2383.74893,17.14731468,,,,,,235.8,
-104.7008177,32.23357687,62.01816364,29.43829857,3.69E-06,1.75E-06,1044,3.70E-12,-0.164780566,1429.982391,26.99210798,,,,,,166.0,
-104.7008536,32.23357347,93.82330776,66.37644839,5.59E-06,3.95E-06,2760,9.79E-12,-0.6471491,4877.798235,43.4170938,,,,,,374.3,
-104.7008599,32.2335674,130.3815179,76.34014271,7.76E-06,4.55E-06,5388,1.91E-11,-1.514715208,7795.932704,30.88703809,,,,,,430.5,
-104.7008708,32.23356865,111.2626594,68.26383341,6.63E-06,4.07E-06,4912,1.74E-11,-1.717001582,5948.934541,17.43059255,,,,,,384.9,
-104.7008788,32.2335696,57.5994936,30.78562709,3.43E-06,1.83E-06,1273,4.51E-12,-2.864134338,1388.883284,8.343630115,,,,,,173.6,
-104.7008858,32.23356853,76.45671052,50.03223959,4.55E-06,2.98E-06,1716,6.09E-12,-2.885422725,2996.157462,42.72664166,,,,,,282.1,
-104.7008241,32.23356406,180.5686019,100.0657644,1.08E-05,5.96E-06,9341,3.31E-11,-1.976885269,14152.29374,33.99656499,,,,,,564.3,
-104.7008833,32.23356388,75.28557729,38.82134524,4.48E-06,2.31E-06,1664,5.90E-12,-0.140419594,2289.187927,27.31046758,,,,,,218.9,
-104.7008508,32.23356347,86.03422312,38.61164917,5.12E-06,2.30E-06,1794,6.36E-12,-0.818643976,2601.888456,31.05008033,,,,,,217.7,
-104.70082,32.23356275,70.75093685,49.53168345,4.21E-06,2.95E-06,2515,8.92E-12,-0.045240702,2744.823131,8.372966862,,,,,,279.3,
-104.7008799,32.23355394,79.50420108,38.90102316,4.73E-06,2.32E-06,1732,6.14E-12,-3.1203558,2422.424126,28.5013726,,,,,,219.4,
-104.7008181,32.23355263,73.67669441,31.10707547,4.39E-06,1.85E-06,1463,5.19E-12,-0.087973928,1795.098966,18.50031514,,,,,,175.4,
-104.7008711,32.2335397,94.48987528,42.243664,5.63E-06,2.52E-06,2200,7.80E-12,-1.439392022,3126.41004,29.63175105,,,,,,238.2,
-104.7008441,32.23353595,95.53603511,32.16691999,5.69E-06,1.92E-06,1652,5.86E-12,-0.854660633,2406.998245,31.36679666,,,,,,181.4,
-104.700884,32.23353107,130.9649105,80.97734379,7.80E-06,4.82E-06,6452,2.29E-11,-1.815378518,8306.490231,22.32579801,,,,,,456.6,
-104.7008467,32.23353101,87.86631665,48.55161818,5.23E-06,2.89E-06,2627,9.32E-12,-2.037365851,3341.374944,21.37967022,,,,,,273.8,
-104.7008487,32.23352333,127.7984499,96.01841861,7.61E-06,5.72E-06,6815,2.42E-11,-2.613350103,9611.235448,29.09340285,,,,,,541.5,
-104.7008889,32.23352291,92.93011629,42.92622899,5.53E-06,2.56E-06,2573,9.13E-12,-1.701476687,3124.483963,17.65040146,,,,,,242.1,
-104.7008968,32.2335238,78.12158617,50.45735156,4.65E-06,3.00E-06,1884,6.68E-12,-2.930921926,3087.41198,38.97801745,,,,,,284.5,
-104.7008535,32.2335163,78.40914172,40.99045043,4.67E-06,2.44E-06,1904,6.75E-12,-2.483844458,2517.378229,24.36575567,,,,,,231.2,
-104.7008452,32.23362004,84.89873424,52.45120176,5.06E-06,3.12E-06,2838,1.01E-11,-2.876386333,3487.833461,18.63143606,,,,,,295.8,
-104.7008546,32.23361754,38.67852284,26.7623574,2.30E-06,1.59E-06,616,2.18E-12,-2.473468891,810.7618917,24.02208265,,,,,,150.9,
-104.7008093,32.23361266,146.9676282,94.41693107,8.75E-06,5.62E-06,7695,2.73E-11,-2.079847414,10868.52596,29.19923059,,,,,,532.4,
-104.7008054,32.23360956,56.34326018,26.53398591,3.36E-06,1.58E-06,1003,3.56E-12,-0.821609286,1170.964014,14.34407989,,,,,,149.6,
-104.7008499,32.23360396,57.45805772,25.96216062,3.42E-06,1.55E-06,826,2.93E-12,-1.949540207,1168.398135,29.30491966,,,,,,146.4,
-104.7008171,32.23360236,98.84055174,70.482944,5.89E-06,4.20E-06,4109,1.46E-11,-0.860659691,5456.551746,24.69603165,,,,,,397.5,
-104.700827,32.2335721,69.93079342,57.60533718,4.16E-06,3.43E-06,2359,8.37E-12,-0.097754471,3155.22446,25.23511306,,,,,,324.8,
-104.7008767,32.23356644,64.58938932,29.801624,3.85E-06,1.77E-06,1178,4.18E-12,-0.227991658,1507.648815,21.86509297,,,,,,168.1,
-104.7008493,32.23356513,50.09203796,29.67800663,2.98E-06,1.77E-06,916,3.25E-12,-0.291111512,1164.400839,21.33293201,,,,,,167.4,
-104.7008654,32.23356448,56.00173687,27.60435842,3.34E-06,1.64E-06,828,2.94E-12,-0.428654136,1210.816236,31.6163778,,,,,,155.7,
-104.7008471,32.23356061,92.10166985,51.71477449,5.49E-06,3.08E-06,2953,1.05E-11,-2.268941368,3730.621774,20.8442941,,,,,,291.6,
-104.7008096,32.23354632,71.04785191,39.16303775,4.23E-06,2.33E-06,1287,4.56E-12,-2.503549587,2179.347097,40.94561616,,,,,,220.8,
-104.700892,32.23351523,101.8264724,55.00524201,6.06E-06,3.28E-06,2734,9.70E-12,-2.576674795,4386.96187,37.67896596,,,,,,310.2,
-104.7008607,32.23359777,98.82352327,37.94883602,5.89E-06,2.26E-06,1745,6.19E-12,-0.150707179,2937.364719,40.59300881,,,,,,214.0,
-104.7008652,32.23359777,75.62119753,29.06845493,4.50E-06,1.73E-06,1438,5.10E-12,-0.226119032,1721.72815,16.47926534,,,,,,163.9,
-104.70081,32.23359658,66.84804772,46.39165013,3.98E-06,2.76E-06,1731,6.14E-12,-0.399171598,2429.000645,28.7361243,,,,,,261.6,
-104.7008464,32.23350189,341.0538556,54.71636003,2.03E-05,3.26E-06,9622,3.41E-11,-0.379092947,14616.36041,34.16965833,,,,,,308.6,
-104.7008545,32.23350189,101.3230054,40.68995511,6.03E-06,2.42E-06,2217,7.86E-12,-0.594826847,3229.195624,31.34513179,,,,,,229.5,
-104.7008343,32.23350296,89.02775185,27.47672757,5.30E-06,1.64E-06,1732,6.14E-12,-3.104919382,1915.973489,9.602089504,,,,,,154.9,
-104.700829,32.23349605,77.93290247,55.28288285,4.64E-06,3.29E-06,2601,9.22E-12,-1.244865446,3374.509185,22.92212416,,,,,,311.7,
-104.7008499,32.23349271,163.5567602,57.48107343,9.74E-06,3.42E-06,4866,1.73E-11,-0.733254233,7363.638338,33.91853624,,,,,,324.1,
-104.7008383,32.23349438,55.14638548,32.86684943,3.28E-06,1.96E-06,1137,4.03E-12,-0.75488771,1419.626863,19.90853163,,,,,,185.3,
-104.7008575,32.23349319,64.26444861,38.11985084,3.83E-06,2.27E-06,1621,5.75E-12,-0.018896599,1918.761782,15.51843405,,,,,,215.0,
-104.700861,32.23349122,108.6608921,47.64903178,6.47E-06,2.84E-06,2509,8.90E-12,-2.76180847,4055.332122,38.130838,,,,,,268.7,
-104.7008203,32.23348628,154.0495299,30.56638322,9.17E-06,1.82E-06,3102,1.10E-11,-1.268300475,3688.107001,15.89181118,,,,,,172.4,
-104.700847,32.23348563,86.4023762,68.53497308,5.15E-06,4.08E-06,3227,1.14E-11,-1.792054823,4638.066959,30.42360043,,,,,,386.5,
-104.7008512,32.23348634,70.52550329,43.93295766,4.20E-06,2.62E-06,1984,7.04E-12,-0.549516642,2426.809673,18.24657605,,,,,,247.7,
-104.7008664,32.23348426,110.5259737,69.17203848,6.58E-06,4.12E-06,5127,1.82E-11,-1.366093153,5988.168403,14.3811654,,,,,,390.1,
-104.7008175,32.2334864,62.57460716,40.22193143,3.73E-06,2.40E-06,1347,4.78E-12,-0.064271856,1971.333646,31.67062296,,,,,,226.8,
-104.7008617,32.23348533,75.79491483,62.5058955,4.51E-06,3.72E-06,2017,7.15E-12,-2.557604434,3710.736637,45.64421576,,,,,,352.5,
-104.7008249,32.23348408,120.6253729,63.88028846,7.18E-06,3.80E-06,5298,1.88E-11,-0.70474342,6035.379992,12.2176233,,,,,,360.2,
-104.7008836,32.23348277,68.8235906,36.409239,4.10E-06,2.17E-06,1308,4.64E-12,-2.90479708,1962.673278,33.35620274,,,,,,205.3,
-104.7008284,32.23347562,94.48254536,34.83370853,5.63E-06,2.07E-06,2091,7.42E-12,-3.058374879,2577.806886,18.88453665,,,,,,196.4,
-104.700845,32.23347437,86.6493974,50.00818376,5.16E-06,2.98E-06,2450,8.69E-12,-0.215497991,3393.952109,27.81277044,,,,,,282.0,
-104.7008282,32.23347127,75.7518907,56.67580415,4.51E-06,3.38E-06,2705,9.59E-12,-1.798192877,3362.716455,19.55908159,,,,,,319.6,
-104.7008246,32.23346574,187.2641589,102.9577018,1.12E-05,6.13E-06,10626,3.77E-11,-2.249968571,15101.23915,29.63491343,,,,,,580.6,
-104.7008613,32.23346681,88.8036729,64.88658556,5.29E-06,3.86E-06,2513,8.91E-12,-0.73224812,4513.203656,44.31893193,,,,,,365.9,
-104.7008311,32.23346818,54.6666456,35.33323518,3.26E-06,2.10E-06,1088,3.86E-12,-2.52741542,1512.881497,28.08425496,,,,,,199.2,
-104.700834,32.23346705,56.71189204,39.95592409,3.38E-06,2.38E-06,1120,3.97E-12,-0.283951233,1774.82034,36.89502116,,,,,,225.3,
-104.7008461,32.23346216,95.44207434,49.27704402,5.68E-06,2.93E-06,2775,9.84E-12,-1.220316972,3683.694444,24.66801895,,,,,,277.9,
-104.7008336,32.23346145,52.56869256,38.06730476,3.13E-06,2.27E-06,1015,3.60E-12,-0.47289299,1567.394744,35.24286056,,,,,,214.7,
-104.7008658,32.23345246,81.35810798,61.3083446,4.85E-06,3.65E-06,2941,1.04E-11,-2.960057512,3906.784998,24.72071022,,,,,,345.7,
