PebbleCounts,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area,,Correction Factor:,,,,,
,,,,,,,,,,,,3.18E-05,,,,corrected diameter (mm),correction
-104.7010446,32.23309971,30.01532587,26.55490073,1.79E-06,1.58E-06,452,1.60E-12,-0.185529269,624.290644,27.59782573,,,,,,149.7,
-104.7010461,32.23309899,41.14108659,22.37844676,2.45E-06,1.33E-06,506,1.79E-12,-1.362946137,721.1154141,29.83092719,,,,,,126.2,
-104.7010697,32.23309798,57.07824919,36.73468968,3.40E-06,2.19E-06,1370,4.86E-12,-2.015655068,1642.275825,16.57917754,,,,,,207.2,
-104.7011028,32.23308214,67.96658753,41.55717946,4.05E-06,2.47E-06,1652,5.86E-12,-2.822710193,2212.282635,25.32599706,,,,,,234.3,
-104.7010657,32.23307601,156.5682182,90.26724972,9.32E-06,5.38E-06,5765,2.04E-11,-0.766515835,11069.6248,47.92054742,,,,,,509.0,
-104.7010985,32.23307493,149.3457351,52.45364405,8.89E-06,3.12E-06,4004,1.42E-11,-2.277906366,6135.748798,34.74309116,,,,,,295.8,
-104.701103,32.2330632,65.73885719,26.38883649,3.91E-06,1.57E-06,1160,4.11E-12,-2.563261347,1358.755995,14.6277916,,,,,,148.8,
-104.7011064,32.2330635,34.94340185,24.26152069,2.08E-06,1.44E-06,493,1.75E-12,-0.07065619,664.0217156,25.75544016,,,,,,136.8,
-104.7010555,32.23313562,89.81999277,58.85751615,5.35E-06,3.51E-06,3119,1.11E-11,-1.633560552,4140.70249,24.67461723,,,,,,331.9,
-104.7010703,32.23311031,28.45048484,21.22440511,1.69E-06,1.26E-06,335,1.19E-12,-2.562582368,472.9598553,29.16946413,,,,,,119.7,
-104.701076,32.23308875,42.55375355,23.65973357,2.53E-06,1.41E-06,701,2.49E-12,-1.782721432,788.581901,11.10625299,,,,,,133.4,
-104.7010745,32.23308762,33.32498744,21.12900701,1.98E-06,1.26E-06,465,1.65E-12,-1.95205818,551.5033602,15.68501055,,,,,,119.1,
-104.7010914,32.23308452,40.04264342,22.30127562,2.38E-06,1.33E-06,509,1.81E-12,-2.972636729,699.4417086,27.22767405,,,,,,125.8,
-104.7010704,32.23308018,52.15637577,31.19856069,3.11E-06,1.86E-06,1049,3.72E-12,-2.055769245,1274.503539,17.69344156,,,,,,175.9,
-104.701069,32.2330691,59.06303121,51.12857675,3.52E-06,3.04E-06,1612,5.72E-12,-0.111902544,2365.257982,31.84675785,,,,,,288.3,
-104.7011068,32.23298626,382.8160002,111.5952894,2.28E-05,6.65E-06,26356,9.35E-11,-2.42695548,33460.70024,21.23296939,,,,,,629.3,
-104.701077,32.23296827,209.8156318,165.0611846,1.25E-05,9.83E-06,23761,8.43E-11,-1.718005612,27125.75782,12.40429057,,,,,,930.8,
-104.7010934,32.23296732,214.7840637,134.2665912,1.28E-05,8.00E-06,14033,4.98E-11,-1.102977152,22587.54857,37.8728508,,,,,,757.1,
-104.7010873,32.23296773,257.1883566,96.29259068,1.53E-05,5.73E-06,10255,3.64E-11,-1.229039205,19397.38813,47.13205752,,,,,,543.0,
-104.7010754,32.23295416,187.1058951,114.9763066,1.11E-05,6.85E-06,14116,5.01E-11,-1.54325642,16849.80604,16.22455494,,,,,,648.4,
-104.7010933,32.2329404,333.5499455,265.1660057,1.99E-05,1.58E-05,45584,1.62E-10,-2.449664958,69275.2022,34.19867636,,,,,,1495.3,
-104.7010988,32.2330127,146.7617087,87.68590982,8.74E-06,5.22E-06,4226,1.50E-11,-0.609941046,10079.56183,58.07357432,,,,,,494.5,
-104.7011103,32.23298917,75.49258054,61.73880479,4.50E-06,3.68E-06,2520,8.94E-12,-2.709937872,3650.577476,30.96982555,,,,,,348.2,
-104.7010807,32.2329837,147.2504434,61.6162616,8.77E-06,3.67E-06,5676,2.01E-11,-2.47244184,7106.42272,20.12859038,,,,,,347.5,
-104.7010787,32.23298012,131.8293954,54.88814503,7.85E-06,3.27E-06,4435,1.57E-11,-3.06827585,5667.478683,21.74650761,,,,,,309.5,
-104.7011026,32.23297572,294.7296162,228.9781381,1.76E-05,1.36E-05,30334,1.08E-10,-2.762989087,52858.74886,42.61309499,,,,,,1291.2,
-104.7010693,32.23297685,51.40897351,40.65769091,3.06E-06,2.42E-06,1489,5.28E-12,-2.18462277,1637.120789,9.047639631,,,,,,229.3,
-104.7011107,32.23296803,176.4214774,115.8331894,1.05E-05,6.90E-06,12848,4.56E-11,-0.161283854,16006.02719,19.73023758,,,,,,653.2,
-104.7010826,32.2329566,78.46215966,60.91769195,4.67E-06,3.63E-06,3165,1.12E-11,-0.257240524,3743.715,15.45830813,,,,,,343.5,
-104.7010848,32.23291944,72.14362463,27.73156512,4.30E-06,1.65E-06,1349,4.78E-12,-2.92270325,1567.008747,13.91241417,,,,,,156.4,
-104.7010821,32.23297315,124.6128371,110.0342716,7.42E-06,6.55E-06,8552,3.03E-11,-2.183869615,10739.64283,20.36979129,,,,,,620.5,
-104.7010878,32.23295565,71.13829925,60.9916331,4.24E-06,3.63E-06,3040,1.08E-11,-1.76890779,3398.386904,10.54579463,,,,,,343.9,
-104.7010603,32.23288638,83.70635112,28.53349342,4.99E-06,1.70E-06,1283,4.55E-12,-1.375658565,1870.73572,31.41735701,,,,,,160.9,
-104.7010492,32.23287036,108.8400832,47.68485676,6.48E-06,2.84E-06,3542,1.26E-11,-1.711872624,4065.073746,12.86750938,,,,,,268.9,
-104.7010551,32.23286816,178.6991343,101.0022039,1.06E-05,6.02E-06,11732,4.16E-11,-1.599631636,14136.84122,17.01116385,,,,,,569.6,
-104.7010664,32.23281152,165.642502,84.32825275,9.86E-06,5.02E-06,7538,2.67E-11,-2.590001921,10940.67117,31.10111909,,,,,,475.5,
-104.7010482,32.23287715,49.37388247,22.57667379,2.94E-06,1.34E-06,715,2.54E-12,-1.297416328,873.08458,18.10644509,,,,,,127.3,
-104.7010586,32.2328706,31.0985708,26.85421919,1.85E-06,1.60E-06,536,1.90E-12,-1.760558709,654.1118866,18.05683233,,,,,,151.4,
-104.7010565,32.23282891,99.68191204,69.08554015,5.94E-06,4.11E-06,3653,1.30E-11,-0.032334425,5393.896373,32.27530254,,,,,,389.6,
-104.7010587,32.23282486,57.15623281,32.9954364,3.40E-06,1.97E-06,1220,4.33E-12,-2.512069485,1477.12264,17.40699335,,,,,,186.1,
-104.7010666,32.23289776,32.14123334,20.13418274,1.91E-06,1.20E-06,421,1.49E-12,-2.580813958,506.8688767,16.94104346,,,,,,113.5,
-104.7010626,32.23289001,35.61908093,24.74899985,2.12E-06,1.47E-06,524,1.86E-12,-0.672358548,690.461462,24.108726,,,,,,139.6,
-104.7010538,32.23287519,52.01505768,28.00062924,3.10E-06,1.67E-06,714,2.53E-12,-2.772796047,1140.764392,37.41038861,,,,,,157.9,
-104.7011161,32.23278954,201.3546556,148.3144313,1.20E-05,8.83E-06,15200,5.39E-11,-1.2679244,23390.7511,35.01705038,,,,,,836.4,
-104.7011008,32.23277972,169.4111993,94.06820998,1.01E-05,5.60E-06,9971,3.54E-11,-2.362037572,12481.99712,20.11695003,,,,,,530.5,
-104.7011194,32.23278234,79.94370696,56.3916217,4.76E-06,3.36E-06,2036,7.22E-12,-2.803596815,3531.001872,42.33931123,,,,,,318.0,
-104.7011122,32.23277876,141.7219898,89.55989001,8.44E-06,5.33E-06,4535,1.61E-11,-2.387711896,9941.453238,54.38292681,,,,,,505.0,
-104.7011036,32.23277019,248.3990815,137.5650679,1.48E-05,8.19E-06,24447,8.67E-11,-2.264784317,26764.38285,8.658458023,,,,,,775.7,
-104.7011164,32.23277084,130.4549146,60.97635691,7.77E-06,3.63E-06,3096,1.10E-11,-1.434276471,6230.472734,50.3087465,,,,,,343.9,
-104.7010943,32.23276519,214.5406254,153.4965088,1.28E-05,9.14E-06,19163,6.80E-11,-0.319906773,25793.31285,25.70554968,,,,,,865.6,
-104.7011144,32.23276513,76.70708966,36.02842891,4.57E-06,2.15E-06,1269,4.50E-12,-2.018817313,2164.611249,41.37515453,,,,,,203.2,
-104.7011154,32.23276138,67.01979545,35.74460153,3.99E-06,2.13E-06,1410,5.00E-12,-1.929464431,1876.344762,24.85389528,,,,,,201.6,
-104.701105,32.23275703,197.8284436,63.50256957,1.18E-05,3.78E-06,6648,2.36E-11,-2.074137439,9839.637851,32.4365378,,,,,,358.1,
-104.7011372,32.23272838,144.3655416,85.7578455,8.60E-06,5.11E-06,6739,2.39E-11,-0.330455423,9696.979722,30.50413435,,,,,,483.6,
-104.701149,32.23271385,179.1751975,96.83066042,1.07E-05,5.77E-06,9237,3.28E-11,-2.661406466,13589.07411,32.02627399,,,,,,546.0,
-104.701144,32.2326967,112.9060731,37.48601708,6.72E-06,2.23E-06,1883,6.68E-12,-1.670760057,3315.016413,43.19786796,,,,,,211.4,
-104.7011537,32.23268705,75.25298403,52.61014742,4.48E-06,3.13E-06,2218,7.87E-12,-0.526025052,3100.932594,28.47313081,,,,,,296.7,
-104.701139,32.23268527,89.44000778,61.66524704,5.33E-06,3.67E-06,2931,1.04E-11,-0.895593328,4319.87704,32.15084658,,,,,,347.7,
