PebbleCounts,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area,,Corrected Area,Correction Factor:,,,,
,,,,,,,,,,,,,6.38E-05,,,corrected diameter (mm),conversion
-104.701213,32.23591049,37.07386898,22.73832781,3.15E-06,1.93E-06,570,4.10E-12,-1.109316955,660.2760055,13.67246496,,0.036375293,,,,181.6,
-104.7011975,32.23590836,106.5604606,47.94001103,9.04E-06,4.07E-06,3638,2.62E-11,-0.684702192,4001.228005,9.077913199,,0.232163713,,,,383.0,
-104.701187,32.23590853,64.75066049,26.99884569,5.49E-06,2.29E-06,974,7.01E-12,-1.83952066,1369.26807,28.86710633,,0.06215708,,,,215.7,
-104.7011894,32.23590862,36.01528432,21.24926676,3.06E-06,1.80E-06,492,3.54E-12,-2.173370992,599.4181343,17.92040117,,0.031397621,,,,169.7,
-104.7012094,32.23590387,60.19083183,31.85745606,5.11E-06,2.70E-06,1227,8.83E-12,-0.243083745,1501.898278,18.3033886,,0.078302605,,,,254.5,
-104.7012049,32.23589522,75.30234796,56.39052699,6.39E-06,4.78E-06,2437,1.75E-11,-1.103604834,3325.934962,26.72737057,,0.155520332,,,,450.5,
-104.7011926,32.23589691,59.25256027,40.47601891,5.03E-06,3.43E-06,1719,1.24E-11,-2.698064394,1878.468826,8.489298506,,0.109700226,,,,323.3,
-104.7011989,32.23589462,60.84592058,47.64900708,5.16E-06,4.04E-06,1883,1.36E-11,-3.032372443,2270.828848,17.07873529,,0.1201661,,,,380.6,
-104.7011869,32.23589242,77.12724169,54.38530277,6.54E-06,4.61E-06,2678,1.93E-11,-0.192598555,3285.401355,18.48788897,,0.170900061,,,,434.5,
-104.7011923,32.23589089,53.59729931,21.32386855,4.55E-06,1.81E-06,757,5.45E-12,-0.087933665,895.1750819,15.43553711,,0.048308942,,,,170.3,
-104.7012534,32.23588614,125.6845969,119.6483837,1.07E-05,1.02E-05,7896,5.68E-11,-1.354160965,11778.44543,32.96229074,,0.503893533,,,,955.8,
-104.7011854,32.2358869,66.05732715,42.21656293,5.60E-06,3.58E-06,1844,1.33E-11,-2.903135686,2184.253049,15.57754716,,0.117677264,,,,337.2,
-104.7011904,32.23588283,50.64426832,25.03713413,4.30E-06,2.12E-06,805,5.79E-12,-2.844998576,993.1480594,18.94461331,,0.051372124,,,,200.0,
-104.7011876,32.23587774,50.05613013,30.20643006,4.25E-06,2.56E-06,890,6.41E-12,-2.446380181,1184.283705,24.8490884,,0.05679651,,,,241.3,
-104.7011966,32.23583473,65.94920739,42.23004145,5.59E-06,3.58E-06,959,6.90E-12,-2.269240519,2181.374185,56.03688691,,0.061199835,,,,337.4,
-104.7013132,32.23597174,40.99835557,20.69099234,3.48E-06,1.76E-06,557,4.01E-12,-0.314636686,664.4263368,16.16828395,,0.035545681,,,,165.3,
-104.7013024,32.23596978,48.74496201,24.73352666,4.14E-06,2.10E-06,846,6.09E-12,-0.721112135,944.3105959,10.41083265,,0.053988593,,,,197.6,
-104.7011975,32.23594442,29.2728892,27.88035304,2.48E-06,2.37E-06,515,3.71E-12,-2.455116579,639.2385225,19.43539353,,0.032865396,,,,222.7,
-104.7012374,32.23591693,40.67597818,25.58645213,3.45E-06,2.17E-06,677,4.87E-12,-0.221764475,815.168064,16.94964144,,0.043203638,,,,204.4,
-104.7012363,32.23591159,53.71888664,39.68293443,4.56E-06,3.37E-06,1409,1.01E-11,-2.836926775,1669.667,15.61191543,,0.089917172,,,,317.0,
-104.7012032,32.23590828,80.32196338,46.57296158,6.81E-06,3.95E-06,1996,1.44E-11,-0.212087336,2929.997519,31.87707543,,0.127377342,,,,372.0,
-104.7012404,32.23590268,96.52919638,43.00993615,8.19E-06,3.65E-06,2026,1.46E-11,-0.85175672,3251.820539,37.69643878,,0.129291831,,,,343.6,
-104.7012284,32.23585433,61.6290727,36.35580481,5.23E-06,3.08E-06,1517,1.09E-11,-2.573252943,1754.924664,13.55754287,,0.096809333,,,,290.4,
-104.7012138,32.23585526,44.43157192,27.00310694,3.77E-06,2.29E-06,785,5.65E-12,-0.119417218,939.7330387,16.46563782,,0.050095798,,,,215.7,
-104.7011859,32.23584601,22.47196964,21.97363477,1.91E-06,1.86E-06,332,2.39E-12,-2.227820241,386.7605084,14.1587642,,0.021187013,,,,175.5,
-104.7011773,32.23594654,25.30368739,21.38611294,2.15E-06,1.81E-06,334,2.40E-12,-0.747855798,423.8525016,21.19900231,,0.021314645,,,,170.8,
-104.7011793,32.23594238,33.88181088,20.78562497,2.87E-06,1.76E-06,483,3.48E-12,-0.713520944,551.6057472,12.43746055,,0.030823275,,,,166.0,
-104.7011771,32.23593857,31.25893423,20.67895242,2.65E-06,1.75E-06,430,3.09E-12,-1.163059788,506.2928356,15.06891471,,0.027441011,,,,165.2,
-104.7011763,32.23593051,44.16965745,34.02220479,3.75E-06,2.89E-06,1041,7.49E-12,-0.02695657,1177.024674,11.55665439,,0.066432772,,,,271.8,
-104.7011799,32.23593017,53.32555018,34.79508157,4.52E-06,2.95E-06,1125,8.10E-12,-0.592095405,1453.29,22.589435,,0.071793342,,,,278.0,
-104.7011722,32.23592872,39.0045885,27.84155065,3.31E-06,2.36E-06,720,5.18E-12,-0.905125631,850.5663587,15.35051997,,0.045947739,,,,222.4,
-104.7011635,32.23591583,265.279166,180.3159944,2.25E-05,1.53E-05,34907,2.51E-10,-0.430266994,37465.92644,6.830009777,,2.22763571,,,,1440.5,
-104.7011791,32.2359149,69.62073763,28.18933902,5.91E-06,2.39E-06,1189,8.56E-12,-2.645195079,1537.172457,22.65018838,,0.075877585,,,,225.2,
-104.701175,32.23590599,176.8605064,78.44365412,1.50E-05,6.65E-06,7306,5.26E-11,-0.60484666,10866.45189,32.76554229,,0.466241914,,,,626.6,
-104.7011573,32.23590557,36.76557779,23.1267305,3.12E-06,1.96E-06,591,4.25E-12,-3.109592467,665.9700772,11.25727413,,0.037715435,,,,184.7,
-104.7011616,32.23590429,27.29371484,20.02826578,2.32E-06,1.70E-06,387,2.79E-12,-2.252266873,428.1589997,9.61301754,,0.024696909,,,,160.0,
-104.7011381,32.23589852,29.71001732,27.66750313,2.52E-06,2.35E-06,529,3.81E-12,-2.627961998,643.831104,17.83559434,,0.033758825,,,,221.0,
-104.7011141,32.23589309,42.67968812,22.99606826,3.62E-06,1.95E-06,712,5.12E-12,-1.237419339,768.7301376,7.379720763,,0.045437208,,,,183.7,
-104.7011546,32.2358925,54.10940432,33.7492013,4.59E-06,2.86E-06,955,6.87E-12,-3.047853724,1430.32699,33.23205064,,0.06094457,,,,269.6,
-104.7011168,32.23589242,31.26044708,23.51793439,2.65E-06,2.00E-06,523,3.76E-12,-0.31743173,575.8288774,9.174405707,,0.033375927,,,,187.9,
-104.7011505,32.23588962,63.20341995,50.50959067,5.36E-06,4.28E-06,1688,1.21E-11,-2.255256497,2500.423138,32.49142618,,0.10772192,,,,403.5,
-104.7011179,32.2358875,78.20584535,52.68714017,6.63E-06,4.47E-06,2947,2.12E-11,-0.234737068,3227.326634,8.686032301,,0.188066647,,,,420.9,
-104.7011488,32.23588393,106.7753,67.05237241,9.06E-06,5.69E-06,4593,3.31E-11,-0.671802927,5607.690424,18.09462269,,0.293108282,,,,535.6,
-104.7011183,32.23588266,47.18879043,29.15772362,4.00E-06,2.47E-06,929,6.69E-12,-1.485844409,1077.684265,13.79664432,,0.059285346,,,,232.9,
-104.7011311,32.23587901,30.16468687,27.04487607,2.56E-06,2.29E-06,590,4.25E-12,-1.764409079,638.9735755,7.664413264,,0.037651619,,,,216.0,
-104.7011226,32.23587876,43.45530436,22.80809045,3.69E-06,1.93E-06,654,4.71E-12,-0.584960542,776.3021769,15.75445497,,0.041735863,,,,182.2,
-104.7011484,32.23587799,83.27090994,32.99938702,7.06E-06,2.80E-06,1985,1.43E-11,-0.325932786,2152.277495,7.772115591,,0.126675363,,,,263.6,
-104.7011179,32.23587867,22.86829102,21.01614497,1.94E-06,1.78E-06,325,2.34E-12,-0.429751016,376.4314038,13.66288873,,0.020740299,,,,167.9,
-104.7011152,32.23587579,37.91227865,30.53410326,3.22E-06,2.59E-06,782,5.63E-12,-1.20823353,906.7010925,13.75327476,,0.049904349,,,,243.9,
-104.7011448,32.23587502,30.26937213,23.77742583,2.57E-06,2.02E-06,519,3.74E-12,-1.831263549,563.7250446,7.933840263,,0.033120662,,,,189.9,
-104.7011166,32.23587341,45.98865942,27.20194551,3.90E-06,2.31E-06,868,6.25E-12,-0.552951326,979.8278911,11.41301366,,0.055392552,,,,217.3,
-104.7011316,32.23586205,297.8430609,271.9555493,2.53E-05,2.31E-05,44690,3.22E-10,-2.740460175,63443.11421,29.55894339,,2.851950608,,,,2172.5,
-104.7011592,32.23586892,97.17553692,42.70087252,8.24E-06,3.62E-06,2187,1.57E-11,-0.525004753,3250.070483,32.70915165,,0.139566256,,,,341.1,
-104.701114,32.23586909,48.37304835,22.13695629,4.10E-06,1.88E-06,649,4.67E-12,-2.099977162,838.7266548,22.6207971,,0.041416781,,,,176.8,
-104.7011653,32.23586289,110.3842758,76.75541975,9.36E-06,6.51E-06,5124,3.69E-11,-1.236194136,6636.137026,22.78640451,,0.32699474,,,,613.2,
-104.7011144,32.23586484,59.44586571,32.21064224,5.04E-06,2.73E-06,1249,8.99E-12,-3.013725602,1499.75432,16.71969314,,0.079706563,,,,257.3,
-104.7011041,32.23586417,42.81899816,32.20547303,3.63E-06,2.73E-06,983,7.07E-12,-0.897736814,1080.103232,8.990180656,,0.062731426,,,,257.3,
-104.7011227,32.2358606,197.4052444,47.56505624,1.67E-05,4.04E-06,4543,3.27E-11,-0.815609847,7354.375192,38.2272473,,0.289917467,,,,380.0,
-104.7010897,32.23586383,28.84218005,25.91717191,2.45E-06,2.20E-06,528,3.80E-12,-3.120244619,585.4836535,9.818148322,,0.033695008,,,,207.0,
-104.7011187,32.23586306,37.90215921,28.24574605,3.22E-06,2.40E-06,769,5.53E-12,-2.64222151,838.5251307,8.291359218,,0.049074737,,,,225.6,
-104.7011176,32.23586001,44.34156911,24.13666895,3.76E-06,2.05E-06,754,5.43E-12,-0.714507254,838.2768494,10.05358187,,0.048117493,,,,192.8,
-104.7011153,32.2358472,210.3041755,135.9170975,1.78E-05,1.15E-05,20306,1.46E-10,-0.771269888,22388.29746,9.300829888,,1.295853861,,,,1085.8,
-104.7011754,32.23585348,35.13409356,25.29005634,2.98E-06,2.15E-06,638,4.59E-12,-0.60440915,695.9493468,8.326661567,,0.040714802,,,,202.0,
-104.7011585,32.23585076,52.14322418,35.47876151,4.42E-06,3.01E-06,1080,7.77E-12,-2.258908883,1448.990085,25.46532852,,0.068921608,,,,283.4,
-104.7011097,32.2358511,58.00201665,41.76005929,4.92E-06,3.54E-06,1784,1.28E-11,-0.932503542,1897.157039,5.964558369,,0.113848286,,,,333.6,
-104.7011532,32.23584983,31.50716221,25.02928697,2.67E-06,2.12E-06,511,3.68E-12,-2.922201206,617.6704831,17.26980421,,0.032610131,,,,199.9,
-104.7011412,32.23584771,37.74234675,23.58270056,3.20E-06,2.00E-06,540,3.89E-12,-0.738371802,697.1424339,22.54093658,,0.034460804,,,,188.4,
-104.7011668,32.23584661,48.89645256,43.08078658,4.15E-06,3.65E-06,1419,1.02E-11,-0.743521533,1649.909251,13.9952698,,0.090555335,,,,344.2,
-104.7011709,32.23584465,41.92788977,32.05573971,3.56E-06,2.72E-06,883,6.35E-12,-2.793774847,1052.707917,16.12108302,,0.056349796,,,,256.1,
-104.7011572,32.23584448,26.59402303,20.12063104,2.26E-06,1.71E-06,362,2.61E-12,-2.451827882,419.1068115,13.62583713,,0.023101502,,,,160.7,
-104.7011453,32.23584389,38.69085333,25.93408224,3.28E-06,2.20E-06,467,3.36E-12,-0.367311297,785.919878,40.57918458,,0.029802214,,,,207.2,
-104.7011322,32.23584228,33.85405755,21.06543671,2.87E-06,1.79E-06,481,3.46E-12,-0.929760622,558.5734337,13.88777715,,0.030695642,,,,168.3,
-104.7011532,32.23583549,249.9632535,139.1876487,2.12E-05,1.18E-05,20300,1.46E-10,-0.131608134,27250.59243,25.50620669,,1.295470963,,,,1111.9,
-104.7011411,32.23583532,50.22203011,22.25986201,4.26E-06,1.89E-06,692,4.98E-12,-1.437017422,875.6202831,20.97030947,,0.044160882,,,,177.8,
-104.7011426,32.23582684,105.2594389,60.55939914,8.93E-06,5.14E-06,3922,2.82E-11,-2.905581438,4992.771488,21.44643492,,0.250287543,,,,483.8,
-104.7011296,32.23582472,66.0758651,22.60258561,5.61E-06,1.92E-06,979,7.05E-12,-2.807628801,1169.768876,16.30825373,,0.062476161,,,,180.6,
-104.7011109,32.235822,62.9710412,44.40675245,5.34E-06,3.77E-06,1784,1.28E-11,-0.666336746,2190.226197,18.54722573,,0.113848286,,,,354.7,
-104.7011329,32.23582268,27.12264126,24.44275574,2.30E-06,2.07E-06,462,3.32E-12,-0.810647227,519.2556477,11.02648531,,0.029483132,,,,195.3,
-104.7011529,32.2358142,184.8810317,90.26270582,1.57E-05,7.66E-06,9321,6.71E-11,-0.798115212,13070.72826,28.68798266,,0.594831766,,,,721.1,
-104.7011288,32.23581649,128.0536965,86.75541849,1.09E-05,7.36E-06,5743,4.13E-11,-3.036138708,8701.373488,33.99892548,,0.366497032,,,,693.0,
-104.701107,32.23581751,61.33134938,32.97950535,5.20E-06,2.80E-06,1340,9.64E-12,-1.835437395,1584.257379,15.41778392,,0.085513847,,,,263.5,
-104.7010967,32.23581878,35.66185233,21.8326523,3.03E-06,1.85E-06,490,3.53E-12,-0.284581821,609.8309713,19.64986643,,0.031269989,,,,174.4,
-104.7011378,32.23581284,219.8442415,92.98503273,1.87E-05,7.89E-06,12488,8.99E-11,-0.513615305,16011.32319,22.00519689,,0.796937999,,,,742.8,
-104.7011034,32.23581802,36.03794573,30.9789267,3.06E-06,2.63E-06,741,5.33E-12,-2.670026127,874.4308582,15.25916623,,0.047287881,,,,247.5,
-104.7011103,32.235817,55.48308451,32.40425692,4.71E-06,2.75E-06,1174,8.45E-12,-0.778367806,1408.191586,16.63066224,,0.07492034,,,,258.9,
-104.7011578,32.23581157,113.5458545,45.65342162,9.63E-06,3.87E-06,2496,1.80E-11,-1.491717386,4060.165126,38.52466778,,0.159285494,,,,364.7,
-104.7011507,32.23592906,119.7712769,80.3588038,1.02E-05,6.82E-06,6612,4.76E-11,-0.381181441,7538.504947,12.29030098,,0.421953399,,,,641.9,
-104.7011657,32.23592686,75.98051191,32.9264476,6.45E-06,2.79E-06,1579,1.14E-11,-0.06840693,1959.504089,19.4183871,,0.100765943,,,,263.0,
-104.7011503,32.23592355,75.25691042,43.03531354,6.38E-06,3.65E-06,2219,1.60E-11,-0.206571453,2536.707761,12.52441318,,0.141608378,,,,343.8,
-104.7011503,32.23591922,54.68042979,27.87011863,4.64E-06,2.36E-06,1077,7.75E-12,-1.493539447,1193.630254,9.771053792,,0.068730159,,,,222.6,
-104.7011283,32.23590794,37.19257577,25.06634301,3.16E-06,2.13E-06,604,4.35E-12,-0.896506027,730.2075449,17.28379086,,0.038545047,,,,200.2,
-104.701145,32.23587231,32.90650056,26.91291117,2.79E-06,2.28E-06,580,4.17E-12,-0.605913347,693.6517062,16.38454936,,0.037013456,,,,215.0,
-104.7011411,32.23586824,65.01630387,37.84974257,5.52E-06,3.21E-06,1280,9.21E-12,-3.037337892,1927.45518,33.5911925,,0.081684869,,,,302.4,
-104.7011327,32.2358265,39.74038861,22.55409841,3.37E-06,1.91E-06,581,4.18E-12,-0.684326267,702.0316015,17.24019278,,0.037077272,,,,180.2,
-104.7011361,32.23582404,45.88697463,21.43752852,3.89E-06,1.82E-06,674,4.85E-12,-0.288984208,770.4832853,12.52243717,,0.043012189,,,,171.3,
-104.7010655,32.23581793,78.00833973,40.30007488,6.62E-06,3.42E-06,1935,1.39E-11,-2.359415768,2462.328372,21.41584273,,0.123484547,,,,321.9,
-104.7011369,32.23581912,36.38624179,25.97875768,3.09E-06,2.20E-06,537,3.86E-12,-0.991349245,740.3799708,27.46967487,,0.034269355,,,,207.5,
-104.7011313,32.23581946,40.09490753,24.15962616,3.40E-06,2.05E-06,588,4.23E-12,-0.024847765,758.7147155,22.50051462,,0.037523987,,,,193.0,
-104.7011444,32.23581844,30.42537085,24.0018736,2.58E-06,2.04E-06,489,3.52E-12,-1.485053307,571.9790289,14.50735511,,0.031206172,,,,191.7,
-104.7011145,32.23581844,35.13967518,26.31231835,2.98E-06,2.23E-06,544,3.92E-12,-0.130816938,724.1956955,24.88218262,,0.034716069,,,,210.2,
-104.7010616,32.2357991,64.95206118,48.97084841,5.51E-06,4.15E-06,2119,1.52E-11,-0.175275558,2491.32076,14.9447139,,0.135226747,,,,391.2,
-104.7010564,32.23579689,51.05649805,25.66324366,4.33E-06,2.18E-06,901,6.48E-12,-0.495938575,1026.270043,12.20634317,,0.05749849,,,,205.0,
-104.7010688,32.23578697,99.66419918,44.4726085,8.45E-06,3.77E-06,3020,2.17E-11,-1.306641322,3471.609483,13.00864874,,0.192725237,,,,355.3,
-104.7010795,32.23578824,52.32176923,31.15114738,4.44E-06,2.64E-06,1143,8.23E-12,-2.38424364,1276.602086,10.46544477,,0.072942035,,,,248.9,
-104.7011096,32.23578722,66.05048924,42.80442884,5.60E-06,3.63E-06,1645,1.18E-11,-0.952264436,2214.439535,25.71483783,,0.104977819,,,,341.9,
-104.7011316,32.23578646,51.52701999,46.03930306,4.37E-06,3.91E-06,1633,1.18E-11,-0.188745091,1858.073324,12.11326383,,0.104212024,,,,367.8,
-104.7010822,32.23578527,30.33203793,22.5926905,2.57E-06,1.92E-06,482,3.47E-12,-1.132270906,536.7457628,10.19957056,,0.030759458,,,,180.5,
-104.7010606,32.23578221,93.3800233,20.6202304,7.92E-06,1.75E-06,1337,9.62E-12,-1.800230945,1508.157065,11.34875598,,0.085322398,,,,164.7,
-104.7011638,32.23578188,147.3382891,51.97143536,1.25E-05,4.41E-06,3884,2.80E-11,-0.419490909,5997.62648,35.24104889,,0.247862523,,,,415.2,
-104.7010369,32.23578289,62.62945368,41.85719642,5.31E-06,3.55E-06,1582,1.14E-11,-1.633467507,2053.27841,22.95248457,,0.100957392,,,,334.4,
-104.7010697,32.23578103,42.07488732,23.4021402,3.57E-06,1.99E-06,601,4.33E-12,-0.067494119,771.2188213,22.07140394,,0.038353598,,,,186.9,
-104.7011604,32.23577619,66.19012485,39.05801281,5.62E-06,3.31E-06,1850,1.33E-11,-2.836932344,2024.894613,8.637220535,,0.118060162,,,,312.0,
-104.7010742,32.23577645,27.35343771,21.46784188,2.32E-06,1.82E-06,390,2.81E-12,-0.172551976,459.9380972,15.20598047,,0.024888358,,,,171.5,
-104.7011364,32.23577433,49.22541266,32.49380101,4.18E-06,2.76E-06,1128,8.12E-12,-0.794743599,1252.820824,9.963182397,,0.07198479,,,,259.6,
-104.7010757,32.23577466,33.92411831,24.67719364,2.88E-06,2.09E-06,520,3.74E-12,-0.321713243,655.6973363,20.69511782,,0.033184478,,,,197.1,
-104.7010813,32.23577314,59.2187496,38.3066949,5.02E-06,3.25E-06,1554,1.12E-11,-2.690090249,1776.7773,12.53827928,,0.099170536,,,,306.0,
-104.7011305,32.23576253,123.6422401,70.73212493,1.05E-05,6.00E-06,5269,3.79E-11,-1.459286154,6849.875082,23.07888922,,0.336248104,,,,565.0,
-104.7010365,32.23575914,137.050068,61.43603287,1.16E-05,5.21E-06,3776,2.72E-11,-2.762589532,6594.79805,42.7427501,,0.240970362,,,,490.8,
-104.7011185,32.23575795,63.59664977,48.22793498,5.40E-06,4.09E-06,2004,1.44E-11,-1.773710574,2402.326245,16.58085558,,0.127887872,,,,385.3,
-104.7010766,32.23575787,83.30659984,49.00011235,7.07E-06,4.16E-06,2628,1.89E-11,-2.533945216,3197.242419,17.80416822,,0.167709246,,,,391.4,
-104.7011238,32.23575812,80.32073188,70.86157466,6.81E-06,6.01E-06,3844,2.77E-11,-1.290420005,4457.974061,13.77249066,,0.245309871,,,,566.1,
-104.7010716,32.23575778,53.64103227,35.16027147,4.55E-06,2.98E-06,1187,8.54E-12,-0.892952497,1477.231051,19.64696387,,0.075749952,,,,280.9,
-104.701027,32.23575804,51.13608522,35.61467581,4.34E-06,3.02E-06,1293,9.31E-12,-2.303460052,1426.446717,9.355184149,,0.082514481,,,,284.5,
-104.7011279,32.2357538,116.9134327,44.93503635,9.92E-06,3.81E-06,3338,2.40E-11,-0.69701513,4114.798668,18.87816953,,0.213018821,,,,359.0,
-104.7010528,32.23575346,33.09511796,23.45384962,2.81E-06,1.99E-06,475,3.42E-12,-1.351728108,607.9630021,21.87024566,,0.030312744,,,,187.4,
-104.7010694,32.23575193,38.66777227,27.00057869,3.28E-06,2.29E-06,685,4.93E-12,-1.062008265,817.751418,16.23371297,,0.043714168,,,,215.7,
-104.7010544,32.2357493,54.68929992,30.36881657,4.64E-06,2.58E-06,1188,8.55E-12,-0.6680134,1300.856267,8.675537053,,0.075813769,,,,242.6,
-104.7010428,32.23574862,42.97983711,30.96254446,3.65E-06,2.63E-06,846,6.09E-12,-0.186970604,1042.318605,18.83479811,,0.053988593,,,,247.3,
-104.7011523,32.23574158,55.74820012,39.05502851,4.73E-06,3.31E-06,1526,1.10E-11,-2.728514598,1705.323948,10.51553566,,0.097383679,,,,312.0,
-104.7010181,32.23573903,30.96593716,23.88621792,2.63E-06,2.03E-06,482,3.47E-12,-0.187469699,579.3362444,16.80133867,,0.030759458,,,,190.8,
-104.7010202,32.23573759,44.03126842,26.10788379,3.74E-06,2.21E-06,764,5.50E-12,-0.588847572,900.3926658,15.14813158,,0.048755656,,,,208.6,
-104.7010427,32.23573377,45.00870506,29.21736584,3.82E-06,2.48E-06,872,6.28E-12,-0.340128812,1029.998656,15.33969533,,0.055647817,,,,233.4,
-104.7010486,32.23571918,236.2185637,106.5029998,2.00E-05,9.04E-06,12968,9.33E-11,-0.070262072,19704.93226,34.18906583,,0.827569825,,,,850.8,
-104.7010878,32.23579944,34.81747457,23.57417326,2.95E-06,2.00E-06,578,4.16E-12,-0.029958318,642.8842994,10.09268689,,0.036885823,,,,188.3,
-104.7011467,32.23579358,72.39691698,68.68691293,6.14E-06,5.83E-06,3676,2.65E-11,-2.462389187,3894.871656,5.619483131,,0.234588732,,,,548.7,
-104.7011069,32.23579206,42.82067281,23.225218,3.63E-06,1.97E-06,628,4.52E-12,-2.777180143,778.954996,19.37916783,,0.040076639,,,,185.5,
-104.701056,32.23577297,52.31410422,35.15889439,4.44E-06,2.98E-06,1295,9.32E-12,-0.105595649,1440.63209,10.10890224,,0.082642113,,,,280.9,
-104.7010804,32.23576856,89.21539111,56.93548454,7.57E-06,4.83E-06,3746,2.70E-11,-2.475915422,3978.523119,5.844458153,,0.239055873,,,,454.8,
-104.7010701,32.23576211,37.97871027,29.39512309,3.22E-06,2.49E-06,771,5.55E-12,-0.068273358,874.4089149,11.82615057,,0.04920237,,,,234.8,
-104.7010939,32.23568822,724.6258432,319.4293629,6.15E-05,2.71E-05,143417,1.03E-09,-0.695004667,181295.7967,20.89336731,,9.152342814,,,,2551.8,
-104.7021274,32.23647845,61.91435823,22.2159208,5.25E-06,1.88E-06,779,5.61E-12,-2.987501804,1077.344938,27.69261056,,0.049712901,,,,177.5,
-104.7020489,32.23646726,62.76858625,27.76534296,5.32E-06,2.36E-06,916,6.59E-12,-0.364816094,1365.037149,32.89559915,,0.058455734,,,,221.8,
-104.702138,32.23645368,152.1439301,49.98846976,1.29E-05,4.24E-06,5059,3.64E-11,-3.122321995,5956.944506,15.07391087,,0.32284668,,,,399.3,
-104.7021519,32.2364497,98.94614886,55.82767492,8.39E-06,4.74E-06,3217,2.32E-11,-3.079220142,4326.607688,25.64613592,,0.205297049,,,,446.0,
-104.7021219,32.23644155,75.60397893,46.67455362,6.41E-06,3.96E-06,1974,1.42E-11,-0.052873786,2763.910062,28.5794416,,0.125973383,,,,372.9,
-104.7021367,32.2364424,44.46242551,33.38536903,3.77E-06,2.83E-06,673,4.84E-12,-1.08395555,1162.64844,42.11491823,,0.042948372,,,,266.7,
-104.7020371,32.23644121,42.37014089,32.16874213,3.59E-06,2.73E-06,880,6.33E-12,-0.276611658,1067.561907,17.56918317,,0.056158347,,,,257.0,
-104.7020443,32.23644045,27.45997331,20.98949932,2.33E-06,1.78E-06,403,2.90E-12,-1.363233485,451.4412826,10.73036172,,0.02571797,,,,167.7,
-104.7021232,32.23643858,98.55230025,25.1961956,8.36E-06,2.14E-06,1357,9.77E-12,-0.11183919,1944.91586,30.22834417,,0.086598724,,,,201.3,
-104.7021408,32.23643748,81.49681112,49.33638746,6.91E-06,4.19E-06,2091,1.50E-11,-2.629399837,3149.249311,33.60322435,,0.133439891,,,,394.1,
-104.7020344,32.23643824,47.73916497,31.21585148,4.05E-06,2.65E-06,973,7.00E-12,-2.848962973,1167.21023,16.63883892,,0.062093263,,,,249.4,
-104.7021172,32.23643536,114.2986377,27.93498734,9.70E-06,2.37E-06,1908,1.37E-11,-2.770377473,2500.855589,23.7061105,,0.121761507,,,,223.2,
-104.7020521,32.23643476,51.3802242,34.05423151,4.36E-06,2.89E-06,1225,8.82E-12,-0.599584859,1370.459357,10.6139125,,0.078174972,,,,272.0,
-104.7021326,32.23643137,174.0471023,76.76270943,1.48E-05,6.51E-06,7591,5.46E-11,-3.114127408,10464.44437,27.45912033,,0.484429561,,,,613.2,
-104.7021495,32.23643281,54.07319812,24.26685577,4.59E-06,2.06E-06,717,5.16E-12,-1.045071709,1027.766947,30.23710265,,0.04575629,,,,193.9,
-104.7021206,32.23643001,96.29075512,48.11535451,8.17E-06,4.08E-06,3162,2.28E-11,-2.954718786,3628.836188,12.86462556,,0.201787152,,,,384.4,
-104.7021474,32.23642603,145.461933,114.5176196,1.23E-05,9.71E-06,11095,7.98E-11,-2.331861797,13047.30299,14.96326861,,0.708041888,,,,914.8,
-104.7020692,32.23642917,68.21520915,29.6357211,5.79E-06,2.51E-06,1294,9.31E-12,-2.89422723,1583.418794,18.27809516,,0.082578297,,,,236.7,
-104.7021414,32.23642501,109.9934081,40.91061805,9.33E-06,3.47E-06,2078,1.50E-11,-2.247170191,3524.534618,41.04186155,,0.132610279,,,,326.8,
-104.7020694,32.23642577,49.23609529,25.44570669,4.18E-06,2.16E-06,833,5.99E-12,-3.003395243,981.2896126,15.11170716,,0.053158981,,,,203.3,
-104.7020794,32.23641771,50.74925324,35.07170849,4.31E-06,2.98E-06,1160,8.35E-12,-2.729406797,1394.073463,16.79061175,,0.074026912,,,,280.2,
-104.7020857,32.23641636,49.23779586,31.14114937,4.18E-06,2.64E-06,913,6.57E-12,-0.373881304,1200.970452,23.97814628,,0.058264285,,,,248.8,
-104.7020825,32.23641432,77.04438836,24.77160477,6.54E-06,2.10E-06,1040,7.48E-12,-2.764986707,1494.838364,30.42726057,,0.066368956,,,,197.9,
-104.7020943,32.23641237,31.04032974,25.76332595,2.63E-06,2.19E-06,570,4.10E-12,-2.212251478,626.3647883,8.998715986,,0.036375293,,,,205.8,
-104.7020925,32.23641016,47.77354294,26.81601539,4.05E-06,2.27E-06,824,5.93E-12,-2.71738435,1003.415436,17.88047398,,0.052584634,,,,214.2,
-104.7021352,32.23640431,106.8596234,89.291915,9.07E-06,7.57E-06,5778,4.16E-11,-0.290058304,7473.514091,22.68697256,,0.368730602,,,,713.3,
-104.7021256,32.23640482,27.58378057,23.20397703,2.34E-06,1.97E-06,421,3.03E-12,-0.622409418,501.3203075,16.02175421,,0.026866664,,,,185.4,
